1;100;0.5641895835
Разбиений;Рекурсивное сложение;Двойное Рекурсивное сложение;Наивное сложение;Прореживающее сложение;Кехановское сложение;Совмещающее сложение
1000;0.0000188048;0.0000188079;0.0000186856;0.0000188048;0.0000188048;0.0000188048
1005;-0.0000372236;-0.0000372407;-0.0000374024;-0.0000372236;-0.0000372236;-0.0000372236
1010;0.0000183875;0.0000184367;0.0000185664;0.0000184472;0.0000184472;0.0000184472
1015;-0.0000365679;-0.0000365083;-0.0000367467;-0.0000365083;-0.0000365083;-0.0000365083
1020;0.0000180895;0.0000180738;0.0000180299;0.0000180895;0.0000180895;0.0000180895
1025;-0.0000357931;-0.0000357966;-0.0000356143;-0.0000357931;-0.0000357931;-0.0000357931
1030;0.0000177319;0.0000177290;0.0000173147;0.0000177319;0.0000177319;0.0000177319
1035;-0.0000350778;-0.0000351127;-0.0000350778;-0.0000350778;-0.0000351374;-0.0000351374
1040;0.0000173743;0.0000173901;0.0000174339;0.0000173743;0.0000174339;0.0000174339
1045;-0.0000344818;-0.0000344405;-0.0000343626;-0.0000344818;-0.0000344222;-0.0000344222
1050;0.0000170762;0.0000170564;0.0000170166;0.0000170762;0.0000170762;0.0000170762
1055;-0.0000338261;-0.0000337904;-0.0000340645;-0.0000338261;-0.0000338261;-0.0000338261
1060;0.0000167186;0.0000167407;0.0000167186;0.0000167186;0.0000167186;0.0000167186
1065;-0.0000331705;-0.0000331663;-0.0000332897;-0.0000331705;-0.0000331705;-0.0000331705
1070;0.0000164206;0.0000164273;0.0000164802;0.0000164802;0.0000164206;0.0000164206
1075;-0.0000325744;-0.0000325509;-0.0000325744;-0.0000325744;-0.0000325744;-0.0000325744
1080;0.0000161226;0.0000161231;0.0000162418;0.0000161822;0.0000161226;0.0000161226
1085;-0.0000319784;-0.0000319533;-0.0000322764;-0.0000319188;-0.0000319784;-0.0000319784
1090;0.0000158245;0.0000158286;0.0000157053;0.0000157649;0.0000158245;0.0000158245
1095;-0.0000313823;-0.0000313647;-0.0000313227;-0.0000313227;-0.0000313823;-0.0000313823
1100;0.0000155861;0.0000155378;0.0000153477;0.0000155265;0.0000155265;0.0000155265
1105;-0.0000307863;-0.0000308023;-0.0000309651;-0.0000307863;-0.0000307863;-0.0000307863
1110;0.0000152285;0.0000152666;0.0000153477;0.0000152285;0.0000152285;0.0000152285
1115;-0.0000302498;-0.0000302497;-0.0000303691;-0.0000302498;-0.0000302498;-0.0000302498
1120;0.0000149901;0.0000149935;0.0000148709;0.0000149901;0.0000149901;0.0000149901
1125;-0.0000297134;-0.0000297137;-0.0000298326;-0.0000297134;-0.0000297134;-0.0000297134
1130;0.0000147517;0.0000147304;0.0000146325;0.0000147517;0.0000147517;0.0000147517
1135;-0.0000292366;-0.0000291957;-0.0000292962;-0.0000291770;-0.0000292366;-0.0000292366
1140;0.0000144536;0.0000144686;0.0000145132;0.0000144536;0.0000144536;0.0000144536
1145;-0.0000287001;-0.0000286889;-0.0000287001;-0.0000287001;-0.0000287001;-0.0000287001
1150;0.0000142152;0.0000142195;0.0000141556;0.0000142152;0.0000142152;0.0000142152
1155;-0.0000281637;-0.0000281903;-0.0000284021;-0.0000281637;-0.0000281637;-0.0000281637
